Report Number,Offense Parent Group,Offense,MCPP,Longitude,Latitude
2020-008468,ASSAULT OFFENSES,Simple Assault,PIONEER SQUARE,-122.3332002,47.60088199
2020-008482,ASSAULT OFFENSES,Simple Assault,GREENWOOD,-122.3520934,47.70507355
2020-008540,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3223987,47.60801798
2020-008555,ASSAULT OFFENSES,Simple Assault,MID BEACON HILL,-122.298594,47.54997969
2020-008577,ASSAULT OFFENSES,Intimidation,NEW HOLLY,-122.2874439,47.5390971
2020-008646,ASSAULT OFFENSES,Simple Assault,SANDPOINT,-122.3068582,47.6907698
2020-008717,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-008795,ASSAULT OFFENSES,Simple Assault,CLAREMONT/RAINIER VISTA,-122.2929052,47.57147529
2020-008823,ASSAULT OFFENSES,Simple Assault,NEW HOLLY,-122.2823449,47.53704403
2020-008869,ASSAULT OFFENSES,Intimidation,RAINIER BEACH,-122.2680301,47.51985178
2020-008907,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2020-008914,ASSAULT OFFENSES,Intimidation,WALLINGFORD,-122.3268828,47.67084675
2020-008950,ASSAULT OFFENSES,Intimidation,FIRST HILL,0,0
2020-008956,ASSAULT OFFENSES,Simple Assault,SODO,-122.3259723,47.58720059
2020-008958,ASSAULT OFFENSES,Simple Assault,CHINATOWN/INTERNATIONAL DISTRICT,-122.3289663,47.59961646
2020-009033,ASSAULT OFFENSES,Simple Assault,SANDPOINT,-122.2622281,47.67889074
2020-009067,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3400134,47.60882096
2020-009075,ASSAULT OFFENSES,Simple Assault,FIRST HILL,0,0
2020-009127,ASSAULT OFFENSES,Intimidation,SOUTH PARK,-122.3231259,47.52047653
2020-009147,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.3382473,47.6102463
2020-009239,ASSAULT OFFENSES,Simple Assault,ROOSEVELT/RAVENNA,-122.299547,47.66177032
2020-009284,ASSAULT OFFENSES,Aggravated Assault,CLAREMONT/RAINIER VISTA,-122.2929052,47.57147529
2020-009406,ASSAULT OFFENSES,Intimidation,NORTHGATE,-122.3345243,47.70233163
2020-009442,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3221964,47.61931579
2020-009453,ASSAULT OFFENSES,Simple Assault,MOUNT BAKER,-122.2936076,47.57629106
2020-009490,ASSAULT OFFENSES,Simple Assault,CENTRAL AREA/SQUIRE PARK,-122.3076608,47.60309452
2020-009595,ASSAULT OFFENSES,Intimidation,JUDKINS PARK/NORTH BEACON HILL,-122.3074866,47.59229465
2020-009715,ASSAULT OFFENSES,Intimidation,MILLER PARK,-122.3119607,47.62444175
2020-009739,ASSAULT OFFENSES,Aggravated Assault,PIONEER SQUARE,-122.3308075,47.60046424
2020-009743,ASSAULT OFFENSES,Aggravated Assault,QUEEN ANNE,-122.3664017,47.62599407
2020-009746,ASSAULT OFFENSES,Simple Assault,BELLTOWN,-122.3460832,47.61370749
2020-009753,ASSAULT OFFENSES,Intimidation,GREENWOOD,-122.3579819,47.69061033
2020-009813,ASSAULT OFFENSES,Aggravated Assault,DOWNTOWN COMMERCIAL,-122.3329003,47.61111025
2020-009841,ASSAULT OFFENSES,Aggravated Assault,BALLARD SOUTH,-122.3826208,47.66867628
2020-009922,ASSAULT OFFENSES,Aggravated Assault,DOWNTOWN COMMERCIAL,-122.3382473,47.6102463
2020-009924,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,-122.3547512,47.62457688
2020-009949,ASSAULT OFFENSES,Aggravated Assault,MID BEACON HILL,-122.2952857,47.54623795
2020-009968,ASSAULT OFFENSES,Aggravated Assault,GEORGETOWN,-122.3222415,47.53963322
2020-009998,ASSAULT OFFENSES,Intimidation,GREENWOOD,-122.3458645,47.69056669
2020-010012,ASSAULT OFFENSES,Intimidation,NORTHGATE,-122.3380904,47.7123018
2020-010168,ASSAULT OFFENSES,Simple Assault,UNIVERSITY,-122.3108159,47.66397982
2020-010355,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,-122.3593097,47.62622485
2020-010442,ASSAULT OFFENSES,Simple Assault,FIRST HILL,-122.3263468,47.60981959
2020-010447,ASSAULT OFFENSES,Simple Assault,ROXHILL/WESTWOOD/ARBOR HEIGHTS,-122.3752876,47.52647063
2020-010454,ASSAULT OFFENSES,Simple Assault,BITTERLAKE,-122.3602179,47.71417797
2020-010612,ASSAULT OFFENSES,Simple Assault,FREMONT,-122.35549,47.65331423
2020-010788,ASSAULT OFFENSES,Simple Assault,QUEEN ANNE,-122.3583032,47.63534937
2020-010826,ASSAULT OFFENSES,Simple Assault,GREENWOOD,-122.3627298,47.70139123
2020-010851,ASSAULT OFFENSES,Intimidation,FIRST HILL,-122.3246521,47.60460902
2020-010892,ASSAULT OFFENSES,Aggravated Assault,CHINATOWN/INTERNATIONAL DISTRICT,-122.3172228,47.59918907
2020-010915,ASSAULT OFFENSES,Intimidation,MOUNT BAKER,-122.2990973,47.58889266
2020-010917,ASSAULT OFFENSES,Intimidation,FIRST HILL,-122.3279505,47.60569676
2020-011039,ASSAULT OFFENSES,Simple Assault,ALASKA JUNCTION,-122.3867781,47.56110647
2020-011137,ASSAULT OFFENSES,Intimidation,COLUMBIA CITY,-122.2744652,47.55998247
2020-011338,ASSAULT OFFENSES,Simple Assault,MADISON PARK,-122.2882043,47.62555405
2020-011389,ASSAULT OFFENSES,Simple Assault,NORTH ADMIRAL,0,0
2020-011390,ASSAULT OFFENSES,Simple Assault,GREENWOOD,-122.3553676,47.69693316
2020-011462,ASSAULT OFFENSES,Simple Assault,SODO,0,0
2020-011570,ASSAULT OFFENSES,Intimidation,FIRST HILL,-122.3223987,47.60801798
2020-011617,ASSAULT OFFENSES,Simple Assault,DOWNTOWN COMMERCIAL,-122.329191,47.60203767
2020-011628,ASSAULT OFFENSES,Intimidation,QUEEN ANNE,-122.3599514,47.62773074
2020-011635,ASSAULT OFFENSES,Simple Assault,UNKNOWN,-122.3101512,47.61558986
2020-011643,ASSAULT OFFENSES,Intimidation,DOWNTOWN COMMERCIAL,-122.3400134,47.60882096
2020-011711,ASSAULT OFFENSES,Simple Assault,GREENWOOD,-122.3445126,47.68875092
2020-011723,ASSAULT OFFENSES,Simple Assault,PIONEER SQUARE,-122.3313926,47.60107283
2020-011789,ASSAULT OFFENSES,Simple Assault,CAPITOL HILL,-122.3208729,47.61990775
2020-011812,ASSAULT OFFENSES,Simple Assault,BALLARD SOUTH,-122.3822435,47.66676934
2020-011996,ASSAULT OFFENSES,Simple Assault,BELLTOWN,-122.3484309,47.61685497
2020-012010,ASSAULT OFFENSES,Intimidation,ROOSEVELT/RAVENNA,-122.2982247,47.66431736
2020-012118,ASSAULT OFFENSES,Aggravated Assault,SLU/CASCADE,-122.3331667,47.61482124
2020-012150,ASSAULT OFFENSES,Aggravated Assault,HIGH POINT,-122.3750698,47.54563408
2020-012171,ASSAULT OFFENSES,Intimidation,CENTRAL AREA/SQUIRE PARK,-122.3030988,47.61879546
2020-012416,ASSAULT OFFENSES,Simple Assault,MADRONA/LESCHI,-122.29269,47.59621162
2020-012425,ASSAULT OFFENSES,Aggravated Assault,MAGNOLIA,-122.3761391,47.63416015
2020-012460,ASSAULT OFFENSES,Intimidation,MADRONA/LESCHI,-122.2937482,47.60125603
2020-012463,ASSAULT OFFENSES,Simple Assault,PHINNEY RIDGE,-122.3512364,47.68255878
